Address Block,Globally Reachable
0.0.0.0/8,False
0.0.0.0/32,False
10.0.0.0/8,False
100.64.0.0/10,False
127.0.0.0/8,False
169.254.0.0/16,False
172.16.0.0/12,False
192.0.0.0/24,False
192.0.0.0/29,False
192.0.0.8/32,False
192.0.0.9/32,True
192.0.0.10/32,True
192.0.0.170/32,False
192.0.0.171/32,False
192.0.2.0/24,False
192.31.196.0/24,True
192.52.193.0/24,True
192.88.99.0/24,False
192.88.99.2/32,False
192.168.0.0/16,False
192.175.48.0/24,True
198.18.0.0/15,False
198.51.100.0/24,False
203.0.113.0/24,False
240.0.0.0/4,False
255.255.255.255/32,False
