Prefix,Status
2001::/23,ALLOCATED
2001:200::/23,ALLOCATED
2001:400::/23,ALLOCATED
2001:600::/23,ALLOCATED
2001:800::/22,ALLOCATED
2001:c00::/23,ALLOCATED
2001:e00::/23,ALLOCATED
2001:1200::/23,ALLOCATED
2001:1400::/22,ALLOCATED
2001:1800::/23,ALLOCATED
2001:1a00::/23,ALLOCATED
2001:1c00::/22,ALLOCATED
2001:2000::/19,ALLOCATED
2001:4000::/23,ALLOCATED
2001:4200::/23,ALLOCATED
2001:4400::/23,ALLOCATED
2001:4600::/23,ALLOCATED
2001:4800::/23,ALLOCATED
2001:4a00::/23,ALLOCATED
2001:4c00::/23,ALLOCATED
2001:5000::/20,ALLOCATED
2001:8000::/19,ALLOCATED
2001:a000::/20,ALLOCATED
2001:b000::/20,ALLOCATED
2002::/16,ALLOCATED
2003::/18,ALLOCATED
2400::/12,ALLOCATED
2410::/12,ALLOCATED
2600::/12,ALLOCATED
2610::/23,ALLOCATED
2620::/23,ALLOCATED
2630::/12,ALLOCATED
2800::/12,ALLOCATED
2a00::/12,ALLOCATED
2a10::/12,ALLOCATED
2c00::/12,ALLOCATED
2d00::/8,RESERVED
2e00::/7,RESERVED
3000::/5,RESERVED
3800::/6,RESERVED
3c00::/7,RESERVED
3e00::/8,RESERVED
3f00::/9,RESERVED
3f80::/10,RESERVED
3fc0::/11,RESERVED
3fe0::/12,RESERVED
3ff0::/13,RESERVED
3ff8::/14,RESERVED
3ffc::/15,RESERVED
3ffe::/16,RESERVED
3fff::/20,RESERVED
